id,area_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,bbox_aspect_ratio,length_px,mean_width_px,max_width_px,orientation_deg,visual_severity
1,23190,343.77,109.85,0,0,740,205,3.61,4408,5.39,13.18,9.35,alta
2,614,177.11,12.64,144,0,70,27,2.59,126,5.06,9.99,-15.05,alta
3,843,461.09,8.15,415,0,87,19,4.58,171,5.11,8.79,1.91,alta
4,668,706.11,88.07,665,77,75,28,2.68,150,4.56,8.0,0.28,alta
5,611,258.04,141.47,222,130,73,23,3.17,109,5.11,10.39,6.55,alta
6,605,637.26,168.82,600,155,72,28,2.57,136,4.43,8.0,-4.16,alta
7,550,367.29,324.14,337,313,76,24,3.17,112,4.61,8.0,0.99,alta
8,397,77.28,330.04,45,322,56,21,2.67,81,4.87,7.19,9.99,media
9,319,665.76,346.08,639,340,50,13,3.85,78,4.41,7.19,-6.56,media
10,1499,397.01,393.04,338,368,129,42,3.07,345,4.59,8.79,5.35,alta
11,444,142.54,443.24,118,434,55,18,3.06,87,5.28,8.0,4.61,alta
12,1186,79.65,479.72,17,453,103,40,2.58,206,6.06,11.59,-10.47,alta
13,277,173.66,469.15,150,462,47,17,2.76,58,4.25,8.0,-13.82,baja
14,570,201.45,485.14,162,472,73,21,3.48,124,4.43,9.99,-1.86,alta
15,318,132.6,481.18,112,474,43,15,2.87,55,5.46,8.4,10.15,alta
16,312,292.71,483.62,271,476,47,17,2.76,72,4.78,8.39,-17.4,alta
