id,area_px,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,bbox_aspect_ratio,length_px,mean_width_px,max_width_px,orientation_deg,visual_severity
1,898,51.83,11.84,15,0,78,25,3.12,173,5.38,12.0,3.81,alta
2,951,348.82,18.77,301,0,90,36,2.5,156,6.06,12.39,-11.14,alta
3,262,678.66,15.31,658,7,42,15,2.8,43,5.46,8.79,-7.16,baja
4,1475,425.42,29.22,347,12,164,42,3.9,291,4.88,8.39,-9.01,alta
5,318,199.33,70.09,170,62,58,20,2.9,57,5.07,6.39,-12.67,media
6,274,190.91,117.11,168,108,49,18,2.72,67,4.09,7.19,-11.83,baja
7,437,500.25,121.86,464,111,72,24,3.0,90,4.86,8.0,-14.28,alta
8,1124,194.37,160.87,129,139,118,42,2.81,218,5.15,10.79,-5.16,alta
9,322,219.6,217.0,196,209,46,18,2.56,58,5.38,11.59,-17.68,alta
10,440,94.34,233.13,56,223,82,18,4.56,91,4.66,8.39,-6.29,alta
11,519,92.11,247.3,45,240,89,17,5.24,109,4.99,10.0,-2.22,alta
12,289,481.92,247.9,456,242,52,13,4.0,57,4.6,8.0,-2.59,baja
13,269,296.87,267.11,274,260,51,16,3.19,55,4.49,6.39,-13.23,baja
14,253,653.94,369.76,629,363,50,13,3.85,51,4.34,6.39,-5.45,baja
15,252,669.15,410.25,646,403,45,16,2.81,43,4.61,7.19,-9.57,baja
16,256,391.6,413.79,370,406,44,15,2.93,52,4.84,6.39,-14.59,baja
17,304,623.6,432.54,597,424,51,16,3.19,69,4.23,6.0,-7.59,media
